congress|bill_number|bill_type|policy_area|sponsor_name|sponsor_lastname|sponsor_state|sponsor_party
111|939|hr|Labor and Employment|RODNEY|FRELINGHUYSEN|NJ|R
111|958|hr|Government Operations and Politics|JAMES|MORAN|VA|D
111|932|hr|Housing and Community Development|TIM|RYAN|OH|D
111|971|hr|Taxation|ANTHONY|WEINER|NY|D
111|931|hr|Armed Forces and National Security|Glenn|Nye|VA|D
111|964|hr|Public Lands and Natural Resources|DANA|ROHRABACHER|CA|R
111|954|hr|Social Welfare|TIM|HOLDEN|PA|D
111|935|hr|Armed Forces and National Security|Gregorio|Sablan|MP|D
111|953|hr|Taxation|Dean|Heller|NV|R
111|951|hr|Armed Forces and National Security|Trent|Franks|AZ|R
111|830|hr|Government Operations and Politics|ELEANOR|NORTON|DC|D
111|867|hr|Public Lands and Natural Resources|Bobby|Bright|AL|D
111|856|hr|Water Resources Development|GEORGE|RADANOVICH|CA|R
111|845|hr|Native Americans|DENNY|REHBERG|MT|R
111|843|hr|Public Lands and Natural Resources|DON|YOUNG|AK|R
111|797|hr|Public Lands and Natural Resources|KEN|CALVERT|CA|R
111|483|hr|Crime and Law Enforcement|Ted|Poe|TX|R
111|447|hr|Labor and Employment|Joe|Sestak|PA|D
111|442|hr|Crime and Law Enforcement|DENNY|REHBERG|MT|R
111|257|hr|Crime and Law Enforcement|SHEILA|JACKSON-LEE|TX|D
111|256|hr|Crime and Law Enforcement|SHEILA|JACKSON-LEE|TX|D
111|248|hr|Crime and Law Enforcement|GENE|GREEN|TX|D
111|247|hr|Crime and Law Enforcement|GENE|GREEN|TX|D
111|197|hr|Crime and Law Enforcement|CLIFF|STEARNS|FL|R
111|150|hr|Crime and Law Enforcement|WALTER|JONES|NC|R
111|122|hr|Crime and Law Enforcement|RODNEY|FRELINGHUYSEN|NJ|R
111|121|hr|Emergency Management|RODNEY|FRELINGHUYSEN|NJ|R
111|110|hr|Health|Jeff|Fortenberry|NE|R
111|90|hr|Crime and Law Enforcement|Dennis|Cardoza|CA|D
111|73|hr|Crime and Law Enforcement|SHEILA|JACKSON-LEE|TX|D
111|70|hr|Crime and Law Enforcement|SHEILA|JACKSON-LEE|TX|D
111|68|hr|Crime and Law Enforcement|SHEILA|JACKSON-LEE|TX|D
111|63|hr|Health|SHEILA|JACKSON-LEE|TX|D
111|61|hr|Crime and Law Enforcement|SHEILA|JACKSON-LEE|TX|D
111|48|hr|Crime and Law Enforcement|JUDY|BIGGERT|IL|R
111|45|hr|Crime and Law Enforcement|BOBBY|RUSH|IL|D
111|27|hr|Health|JUDY|BIGGERT|IL|R
111|17|hr|Crime and Law Enforcement|ROSCOE|BARTLETT|MD|R
111|319|hr|Health|LINCOLN|DIAZ-BALART|FL|R
111|264|hr|Immigration|SHEILA|JACKSON-LEE|TX|D
111|246|hr|Immigration|GENE|GREEN|TX|D
111|239|hr|Law|ELIOT|ENGEL|NY|D
111|187|hr|International Affairs|JOSE|SERRANO|NY|D
111|182|hr|Immigration|JOSE|SERRANO|NY|D
111|144|hr|Immigration|ALCEE|HASTINGS|FL|D
111|139|hr|Government Operations and Politics|ELTON|GALLEGLY|CA|R
111|128|hr|Immigration|ELTON|GALLEGLY|CA|R
111|127|hr|Immigration|ELTON|GALLEGLY|CA|R
111|126|hr|Immigration|ELTON|GALLEGLY|CA|R
111|125|hr|Immigration|ELTON|GALLEGLY|CA|R
111|450|hr|Congress|JOHN|SHADEGG|AZ|R
111|149|hr|Government Operations and Politics|WALTER|JONES|NC|R
111|64|hr|Crime and Law Enforcement|SHEILA|JACKSON-LEE|TX|D
111|40|hr|Civil Rights and Liberties, Minority Issues|JOHN|CONYERS|MI|D
111|486|hr|Law|F.|SENSENBRENNER|WI|R
111|349|hr|Law|LEE|TERRY|NE|R
111|314|hr|Law|Henry|Cuellar|TX|D
111|191|hr|Law|MICHAEL|SIMPSON|ID|R
111|67|hr|Government Operations and Politics|SHEILA|JACKSON-LEE|TX|D
111|904|hr|Health|BART|STUPAK|MI|D
111|902|hr|Health|ADAM|SMITH|WA|D
111|896|hr|Energy|JOSEPH|PITTS|PA|R
111|890|hr|Energy|Edward|Markey|MA|D
111|889|hr|Energy|Edward|Markey|MA|D
111|877|hr|Health|J.|Forbes|VA|R
111|873|hr|Health|DIANA|DEGETTE|CO|D
111|872|hr|Health|DIANA|DEGETTE|CO|D
111|870|hr|Health|Steve|Cohen|TN|D
111|868|hr|Health|LOIS|CAPPS|CA|D
111|864|hr|Energy|LEONARD|BOSWELL|IA|D
111|859|hr|Health|NYDIA|VELAZQUEZ|NY|D
111|858|hr|Commerce|ELIOT|ENGEL|NY|D
111|855|hr|Health|J.|Forbes|VA|R
111|850|hr|Health|NYDIA|VELAZQUEZ|NY|D
111|671|hr|Armed Forces and National Security|BOB|FILNER|CA|D
111|667|hr|Armed Forces and National Security|John|Salazar|CO|D
111|645|hr|Emergency Management|ALCEE|HASTINGS|FL|D
111|613|hr|Armed Forces and National Security|WALTER|JONES|NC|R
111|593|hr|Armed Forces and National Security|ADAM|SMITH|WA|D
111|484|hr|Armed Forces and National Security|Mike|Rogers|AL|R
111|423|hr|Armed Forces and National Security|JOHN|MICA|FL|R
111|333|hr|Armed Forces and National Security|Jim|Marshall|GA|D
111|819|hr|Armed Forces and National Security|TIM|HOLDEN|PA|D
111|809|hr|Armed Forces and National Security|Gus|Bilirakis|FL|R
111|742|hr|Private Legislation|BOB|FILNER|CA|D
111|736|hr|Private Legislation|BOB|FILNER|CA|D
111|733|hr|Private Legislation|GRACE|NAPOLITANO|CA|D
111|660|hr|Private Legislation|ZACH|WAMP|TN|R
111|659|hr|Private Legislation|TODD|PLATTS|PA|R
111|492|hr|Private Legislation|Edward|Markey|MA|D
111|459|hr|Private Legislation|ED|PASTOR|AZ|D
111|458|hr|Private Legislation|ED|PASTOR|AZ|D
111|496|hr|Foreign Trade and International Finance|CHARLES|RANGEL|NY|D
111|895|hr|Environmental Protection|WILLIAM|PASCRELL|NJ|D
111|888|hr|Emergency Management|CAROLYN|MALONEY|NY|D
111|732|hr|Emergency Management|ANTHONY|WEINER|NY|D
111|625|hr|Emergency Management|ANTHONY|WEINER|NY|D
111|595|hr|Government Operations and Politics|PETER|VISCLOSKY|IN|D
111|261|hr|Emergency Management|SHEILA|JACKSON-LEE|TX|D
111|2|hr|Health|FRANK|PALLONE|NJ|D
111|790|hr|Public Lands and Natural Resources|Edward|Markey|MA|D
111|567|hr|Water Resources Development|KEN|CALVERT|CA|R
111|551|hr|Water Resources Development|Gabrielle|Giffords|AZ|D
111|530|hr|Water Resources Development|GARY|MILLER|CA|R
111|437|hr|Water Resources Development|GEORGE|RADANOVICH|CA|R
111|405|hr|Water Resources Development|Dean|Heller|NV|R
111|383|hr|Water Resources Development|LORETTA|SANCHEZ|CA|D
111|376|hr|Water Resources Development|Mary|Fallin|OK|R
111|372|hr|Water Resources Development|Jim|Costa|CA|D
111|371|hr|Water Resources Development|MARY|BONO MACK|CA|R
111|352|hr|Water Resources Development|GREG|WALDEN|OR|R
111|285|hr|Water Resources Development|MIKE|THOMPSON|CA|D
111|172|hr|Water Resources Development|John|Salazar|CO|D
111|135|hr|Water Resources Development|JOHN|LINDER|GA|R
111|102|hr|Water Resources Development|DAVID|DREIER|CA|R
111|89|hr|Water Resources Development|LOIS|CAPPS|CA|D
111|88|hr|Water Resources Development|LOIS|CAPPS|CA|D
111|76|hr|Water Resources Development|DARRELL|ISSA|CA|R
111|75|hr|Water Resources Development|DARRELL|ISSA|CA|R
111|38|hr|Water Resources Development|KEN|CALVERT|CA|R
111|763|hr|Public Lands and Natural Resources|Dean|Heller|NV|R
111|642|hr|Public Lands and Natural Resources|JEFF|FLAKE|AZ|R
111|641|hr|Public Lands and Natural Resources|JEFF|FLAKE|AZ|R
111|604|hr|Public Lands and Natural Resources|Rob|Bishop|UT|R
111|602|hr|Public Lands and Natural Resources|Rob|Bishop|UT|R
111|552|hr|Public Lands and Natural Resources|Gabrielle|Giffords|AZ|D
111|545|hr|Public Lands and Natural Resources|MICHAEL|SIMPSON|ID|R
111|526|hr|Public Lands and Natural Resources|Jim|Marshall|GA|D
111|488|hr|Public Lands and Natural Resources|BART|STUPAK|MI|D
111|482|hr|Public Lands and Natural Resources|Ted|Poe|TX|R
111|455|hr|Public Lands and Natural Resources|Peter|Welch|VT|D
111|454|hr|Public Lands and Natural Resources|ZACH|WAMP|TN|R
111|453|hr|Public Lands and Natural Resources|ZACH|WAMP|TN|R
111|419|hr|Public Lands and Natural Resources|Betsy|Markey|CO|D
111|408|hr|Public Lands and Natural Resources|Dean|Heller|NV|R
111|407|hr|Public Lands and Natural Resources|Dean|Heller|NV|R
111|404|hr|Public Lands and Natural Resources|Raúl|Grijalva|AZ|D
111|401|hr|Public Lands and Natural Resources|JOHN|DINGELL|MI|D
111|397|hr|Public Lands and Natural Resources|Joe|Courtney|CT|D
111|369|hr|Public Lands and Natural Resources|MARY|BONO MACK|CA|R
111|351|hr|Public Lands and Natural Resources|Niki|Tsongas|MA|D
111|348|hr|Public Lands and Natural Resources|IKE|SKELTON|MO|D
111|340|hr|Public Lands and Natural Resources|TODD|PLATTS|PA|R
111|338|hr|Public Lands and Natural Resources|JIM|MATHESON|UT|D
111|337|hr|Public Lands and Natural Resources|JIM|MATHESON|UT|D
111|328|hr|Public Lands and Natural Resources|MAURICE|HINCHEY|NY|D
111|318|hr|Public Lands and Natural Resources|Bill|Delahunt|MA|D
111|317|hr|Public Lands and Natural Resources|Bill|Delahunt|MA|D
111|316|hr|Public Lands and Natural Resources|Bill|Delahunt|MA|D
111|286|hr|Public Lands and Natural Resources|Michael|Turner|OH|R
111|284|hr|Public Lands and Natural Resources|JOHN|SPRATT|SC|D
111|283|hr|Public Lands and Natural Resources|Zachary|Space|OH|D
111|410|hr|Public Lands and Natural Resources|Mazie|Hirono|HI|D
111|368|hr|Public Lands and Natural Resources|LOIS|CAPPS|CA|D
111|280|hr|Public Lands and Natural Resources|WILLIAM|PASCRELL|NJ|D
111|279|hr|Public Lands and Natural Resources|SOLOMON|ORTIZ|TX|D
111|234|hr|Public Lands and Natural Resources|SHELLEY|BERKLEY|NV|D
111|229|hr|Public Lands and Natural Resources|TIM|RYAN|OH|D
111|222|hr|Public Lands and Natural Resources|Robert|Wittman|VA|R
111|202|hr|Arts, Culture, Religion|CLIFF|STEARNS|FL|R
111|192|hr|Public Lands and Natural Resources|MICHAEL|SIMPSON|ID|R
111|183|hr|Public Lands and Natural Resources|JOSE|SERRANO|NY|D
111|171|hr|Public Lands and Natural Resources|John|Salazar|CO|D
111|170|hr|Public Lands and Natural Resources|John|Salazar|CO|D
111|167|hr|Public Lands and Natural Resources|CIRO|RODRIGUEZ|TX|D
111|166|hr|Public Lands and Natural Resources|CIRO|RODRIGUEZ|TX|D
111|165|hr|Public Lands and Natural Resources|DONALD|PAYNE|NJ|D
111|130|hr|Public Lands and Natural Resources|ELTON|GALLEGLY|CA|R
111|112|hr|Public Lands and Natural Resources|Jeff|Fortenberry|NE|R
111|500|hr|Environmental Protection|VERNON|EHLERS|MI|R
111|367|hr|Public Lands and Natural Resources|LOIS|CAPPS|CA|D
111|366|hr|Public Lands and Natural Resources|SAM|FARR|CA|D
111|365|hr|Public Lands and Natural Resources|Madeleine|Bordallo|GU|D
111|300|hr|Science, Technology, Communications|VERNON|EHLERS|MI|R
111|223|hr|Public Lands and Natural Resources|LYNN|WOOLSEY|CA|D
111|169|hr|Public Lands and Natural Resources|John|Salazar|CO|D
111|51|hr|Water Resources Development|MARK|KIRK|IL|R
111|204|hr|Energy|MIKE|THOMPSON|CA|D
111|49|hr|Energy|DON|YOUNG|AK|R
111|841|hr|Commerce|Betty|Sutton|OH|D
111|822|hr|Health|PETER|KING|NY|R
111|821|hr|Environmental Protection|EDDIE|JOHNSON|TX|D
111|818|hr|Energy|John|Hall|NY|D
111|805|hr|Health|Tammy|Baldwin|WI|D
111|804|hr|Health|JOE|BACA|CA|D
111|748|hr|Education|Robert|Scott|VA|D
111|559|hr|Emergency Management|Yvette|Clarke|NY|D
111|549|hr|Emergency Management|PETER|KING|NY|R
111|826|hr|Economics and Public Finance|JOHN|MCHUGH|NY|R
111|803|hr|Transportation and Public Works|LLOYD|DOGGETT|TX|D
111|861|hr|Economics and Public Finance|Walter|Minnick|ID|D
111|886|hr|Social Welfare|JOHN|LEWIS|GA|D
111|906|hr|Housing and Community Development|ELLEN|TAUSCHER|CA|D
111|891|hr|Taxation|JAMES|MCGOVERN|MA|D
111|884|hr|Congress|MARK|KIRK|IL|R
111|874|hr|International Affairs|Bill|Delahunt|MA|D
111|857|hr|Finance and Financial Sector|DENNIS|MOORE|KS|D
111|863|hr|Taxation|EARL|BLUMENAUER|OR|D
111|909|hr|International Affairs|Diane|Watson|CA|D
111|883|hr|Taxation|PETER|KING|NY|R
111|879|hr|Taxation|KAY|GRANGER|TX|R
111|882|hr|Taxation|PETER|KING|NY|R
111|871|hr|Taxation|K.|Conaway|TX|R
111|880|hr|Taxation|DOC|HASTINGS|WA|R
111|894|hr|Armed Forces and National Security|SOLOMON|ORTIZ|TX|D
111|851|hr|Finance and Financial Sector|Gabrielle|Giffords|AZ|D
111|897|hr|Taxation|ADAM|PUTNAM|FL|R
111|876|hr|Foreign Trade and International Finance|Eni|Faleomavaega|AS|D
111|907|hr|Taxation|LEE|TERRY|NE|R
111|899|hr|Congress|Aaron|Schock|IL|R
111|846|hr|Finance and Financial Sector|ELIJAH|CUMMINGS|MD|D
111|833|hr|Finance and Financial Sector|RON|PAUL|TX|R
111|835|hr|Finance and Financial Sector|Ted|Poe|TX|R
111|836|hr|Taxation|EARL|POMEROY|ND|D
111|829|hr|Armed Forces and National Security|SUE|MYRICK|NC|R
111|802|hr|Taxation|Dean|Heller|NV|R
111|796|hr|Taxation|JOHN|LEWIS|GA|D
111|832|hr|Taxation|FRANK|PALLONE|NJ|D
111|839|hr|Native Americans|Heath|Shuler|NC|D
111|817|hr|Armed Forces and National Security|Phil|Gingrey|GA|R
111|793|hr|Taxation|Bill|Posey|FL|R
111|807|hr|Finance and Financial Sector|Gus|Bilirakis|FL|R
111|810|hr|Taxation|Gus|Bilirakis|FL|R
111|739|hr|Labor and Employment|LUCILLE|ROYBAL-ALLARD|CA|D
111|359|hr|Private Legislation|BARBARA|LEE|CA|D
111|358|hr|Private Legislation|PETER|KING|NY|R
111|357|hr|Private Legislation|EDDIE|JOHNSON|TX|D
111|356|hr|Private Legislation|LUIS|GUTIERREZ|IL|D
111|355|hr|Private Legislation|LUIS|GUTIERREZ|IL|D
111|354|hr|Private Legislation|LUIS|GUTIERREZ|IL|D
111|353|hr|Private Legislation|LUIS|GUTIERREZ|IL|D
111|287|hr|Private Legislation|GENE|GREEN|TX|D
111|792|hr|International Affairs|ANTHONY|WEINER|NY|D
111|778|hr|Agriculture and Food|RON|PAUL|TX|R
111|776|hr|Environmental Protection|FRANK|PALLONE|NJ|D
111|766|hr|Health|EDDIE|JOHNSON|TX|D
111|760|hr|Science, Technology, Communications|ANNA|ESHOO|CA|D
111|759|hr|Health|JOHN|DINGELL|MI|D
111|747|hr|Health|Robert|Scott|VA|D
111|745|hr|Health|ANNA|ESHOO|CA|D
111|734|hr|Transportation and Public Works|EDOLPHUS|TOWNS|NY|D
111|303|hr|Armed Forces and National Security|Gus|Bilirakis|FL|R
111|296|hr|Armed Forces and National Security|STEPHEN|BUYER|IN|R
111|270|hr|Armed Forces and National Security|Robert|Latta|OH|R
111|268|hr|Armed Forces and National Security|WALTER|JONES|NC|R
111|241|hr|Armed Forces and National Security|GENE|GREEN|TX|D
111|208|hr|Armed Forces and National Security|Joe|Wilson|SC|R
111|207|hr|Armed Forces and National Security|Joe|Wilson|SC|R
111|177|hr|Armed Forces and National Security|JOSE|SERRANO|NY|D
111|108|hr|Armed Forces and National Security|Jeff|Fortenberry|NE|R
111|82|hr|Armed Forces and National Security|Ginny|Brown-Waite|FL|R
111|746|hr|Social Welfare|John|Adler|NJ|D
111|731|hr|Armed Forces and National Security|JOHN|SHADEGG|AZ|R
111|757|hr|Government Operations and Politics|K.|Conaway|TX|R
111|753|hr|Environmental Protection|Timothy|Bishop|NY|D
111|737|hr|Economics and Public Finance|PETER|HOEKSTRA|MI|R
111|767|hr|Finance and Financial Sector|EDDIE|JOHNSON|TX|D
111|598|hr|Economics and Public Finance|CHARLES|RANGEL|NY|D
111|724|hr|Health|ED|PASTOR|AZ|D
111|722|hr|Health|JAMES|MORAN|VA|D
111|716|hr|Health|STEVE|ISRAEL|NY|D
111|706|hr|Emergency Management|Steve|Cohen|TN|D
111|700|hr|Water Resources Development|Jerry|McNerney|CA|D
111|768|hr|Finance and Financial Sector|JOHN|LARSON|CT|D
111|777|hr|Emergency Management|FRANK|PALLONE|NJ|D
111|751|hr|Congress|J.|Barrett|SC|R
111|779|hr|Taxation|RON|PAUL|TX|R
111|754|hr|Government Operations and Politics|G. K.|Butterfield|NC|D
111|755|hr|Taxation|KEN|CALVERT|CA|R
111|741|hr|Housing and Community Development|BOB|FILNER|CA|D
111|782|hr|Taxation|PAUL|RYAN|WI|R
111|773|hr|Social Welfare|NITA|LOWEY|NY|D
111|772|hr|Social Welfare|NITA|LOWEY|NY|D
111|771|hr|Social Welfare|NITA|LOWEY|NY|D
111|770|hr|Social Welfare|NITA|LOWEY|NY|D
111|769|hr|Social Welfare|NITA|LOWEY|NY|D
111|781|hr|Education|ADAM|PUTNAM|FL|R
111|783|hr|Taxation|F.|SENSENBRENNER|WI|R
111|677|hr|Environmental Protection|BOB|FILNER|CA|D
111|674|hr|Taxation|BOB|FILNER|CA|D
111|629|hr|Economics and Public Finance|HENRY|WAXMAN|CA|D
111|695|hr|Energy|ANTHONY|WEINER|NY|D
111|697|hr|Health|ANTHONY|WEINER|NY|D
111|694|hr|Health|Joe|Sestak|PA|D
111|688|hr|Health|KAY|GRANGER|TX|R
111|686|hr|Health|SUSAN|DAVIS|CA|D
111|684|hr|Health|MARION|BERRY|AR|D
111|681|hr|Science, Technology, Communications|HENRY|WAXMAN|CA|D
111|676|hr|Health|JOHN|CONYERS|MI|D
111|693|hr|Transportation and Public Works|Peter|Roskam|IL|R
111|687|hr|Transportation and Public Works|Virginia|Foxx|NC|R
111|670|hr|Emergency Management|BOB|FILNER|CA|D
111|727|hr|Native Americans|EARL|POMEROY|ND|D
111|703|hr|Finance and Financial Sector|BARNEY|FRANK|MA|D
111|708|hr|International Affairs|CHRISTOPHER|SMITH|NJ|R
111|713|hr|Finance and Financial Sector|MICHAEL|CASTLE|DE|R
111|712|hr|Labor and Employment|MICHAEL|CASTLE|DE|R
111|705|hr|Taxation|VERNON|EHLERS|MI|R
111|702|hr|Education|Mazie|Hirono|HI|D
111|717|hr|Taxation|EDDIE|JOHNSON|TX|D
111|723|hr|Social Welfare|RICHARD|NEAL|MA|D
111|710|hr|Finance and Financial Sector|GARY|ACKERMAN|NY|D
111|726|hr|Taxation|TOM|PETRI|WI|R
111|728|hr|Taxation|ADAM|PUTNAM|FL|R
111|711|hr|Finance and Financial Sector|MICHAEL|CAPUANO|MA|D
111|701|hr|Armed Forces and National Security|Mary|Fallin|OK|R
111|709|hr|Native Americans|NEIL|ABERCROMBIE|HI|D
111|721|hr|Taxation|Kendrick|Meek|FL|D
111|720|hr|Taxation|Christopher|Lee|NY|R
111|719|hr|Taxation|Christopher|Lee|NY|R
111|679|hr|Economics and Public Finance|DAVID|OBEY|WI|D
111|696|hr|International Affairs|ANTHONY|WEINER|NY|D
111|680|hr|Armed Forces and National Security|Ted|Poe|TX|R
111|678|hr|Health|BOB|FILNER|CA|D
111|690|hr|Taxation|SAM|JOHNSON|TX|R
111|692|hr|Taxation|DANA|ROHRABACHER|CA|R
111|683|hr|Taxation|SHELLEY|BERKLEY|NV|D
111|691|hr|Taxation|Kendrick|Meek|FL|D
111|661|hr|Science, Technology, Communications|JOE|BARTON|TX|R
111|668|hr|Health|GREG|WALDEN|OR|R
111|653|hr|Health|BARBARA|LEE|CA|D
111|652|hr|Emergency Management|PETER|KING|NY|R
111|666|hr|Armed Forces and National Security|John|Salazar|CO|D
111|649|hr|Health|Jim|Jordan|OH|R
111|664|hr|Taxation|SAM|GRAVES|MO|R
111|646|hr|Health|MAURICE|HINCHEY|NY|D
111|643|hr|Health|Jeff|Fortenberry|NE|R
111|651|hr|Transportation and Public Works|PETER|KING|NY|R
111|647|hr|Water Resources Development|RUBEN|HINOJOSA|TX|D
111|648|hr|Commerce|EDDIE|JOHNSON|TX|D
111|611|hr|Taxation|Dan|Boren|OK|D
111|384|hr|Finance and Financial Sector|BARNEY|FRANK|MA|D
111|619|hr|Health|EDDIE|JOHNSON|TX|D
111|616|hr|Health|MARION|BERRY|AR|D
111|615|hr|Commerce|GARY|ACKERMAN|NY|D
111|614|hr|Health|MIKE|PENCE|IN|R
111|225|hr|Finance and Financial Sector|Brad|Miller|NC|D
111|624|hr|Transportation and Public Works|MIKE|THOMPSON|CA|D
111|639|hr|Government Operations and Politics|ANNA|ESHOO|CA|D
111|636|hr|Social Welfare|Michele|Bachmann|MN|R
111|638|hr|Taxation|ELIJAH|CUMMINGS|MD|D
111|656|hr|Taxation|TODD|PLATTS|PA|R
111|633|hr|Armed Forces and National Security|Duncan|Hunter|CA|R
111|654|hr|Congress|BARBARA|LEE|CA|D
111|635|hr|Labor and Employment|JOE|BACA|CA|D
111|640|hr|International Affairs|JEFF|FLAKE|AZ|R
111|655|hr|Education|TOM|PETRI|WI|R
111|650|hr|Taxation|Steve|Kagen|WI|D
111|657|hr|Government Operations and Politics|Albio|Sires|NJ|D
111|528|hr|Taxation|JOHN|MCHUGH|NY|R
111|612|hr|Armed Forces and National Security|WALTER|JONES|NC|R
111|618|hr|Families|CHAKA|FATTAH|PA|D
111|617|hr|Taxation|Dan|Boren|OK|D
111|620|hr|Armed Forces and National Security|PETER|KING|NY|R
111|622|hr|Taxation|Michael|Michaud|ME|D
111|609|hr|Environmental Protection|BRAD|SHERMAN|CA|D
111|600|hr|Housing and Community Development|Al|Green|TX|D
111|599|hr|Education|GARY|MILLER|CA|R
111|607|hr|Finance and Financial Sector|GARY|MILLER|CA|R
111|584|hr|Health|BARBARA|LEE|CA|D
111|568|hr|Armed Forces and National Security|JERRY|COSTELLO|IL|D
111|449|hr|Armed Forces and National Security|Joe|Sestak|PA|D
111|592|hr|Health|Allyson|Schwartz|PA|D
111|574|hr|Health|ELIOT|ENGEL|NY|D
111|573|hr|Health|JO|EMERSON|MO|R
111|570|hr|Health|DIANA|DEGETTE|CO|D
111|563|hr|Health|JUDY|BIGGERT|IL|R
111|394|hr|Armed Forces and National Security|HENRY|BROWN|SC|R
111|575|hr|Commerce|Jim|Gerlach|PA|R
111|520|hr|Energy|STEVE|ISRAEL|NY|D
111|542|hr|Health|ADAM|PUTNAM|FL|R
111|523|hr|Sports and Recreation|PETER|KING|NY|R
111|522|hr|Commerce|PETER|KING|NY|R
111|521|hr|Health|PETER|KING|NY|R
111|519|hr|Health|STEVE|ISRAEL|NY|D
111|508|hr|Taxation|Bruce|Braley|IA|D
111|504|hr|Health|Gus|Bilirakis|FL|R
111|557|hr|International Affairs|ILEANA|ROS-LEHTINEN|FL|R
111|564|hr|Taxation|EARL|BLUMENAUER|OR|D
111|583|hr|Housing and Community Development|BARBARA|LEE|CA|D
111|582|hr|Housing and Community Development|BARBARA|LEE|CA|D
111|562|hr|Taxation|NEIL|ABERCROMBIE|HI|D
111|587|hr|Housing and Community Development|GARY|MILLER|CA|R
111|594|hr|Taxation|PETE|STARK|CA|D
111|579|hr|Education|RUSH|HOLT|NJ|D
111|555|hr|Education|DENNIS|KUCINICH|OH|D
111|550|hr|Taxation|DONALD|MANZULLO|IL|R
111|576|hr|Taxation|Gabrielle|Giffords|AZ|D
111|597|hr|Education|LYNN|WOOLSEY|CA|D
111|547|hr|International Affairs|ILEANA|ROS-LEHTINEN|FL|R
111|589|hr|Social Welfare|SUE|MYRICK|NC|R
111|571|hr|Taxation|Bill|Delahunt|MA|D
111|572|hr|Government Operations and Politics|Brad|Ellsworth|IN|D
111|566|hr|Congress|Vern|Buchanan|FL|R
111|590|hr|Taxation|TOM|PETRI|WI|R
111|565|hr|Armed Forces and National Security|HENRY|BROWN|SC|R
111|561|hr|Taxation|Betsy|Markey|CO|D
111|386|hr|Taxation|LLOYD|DOGGETT|TX|D
111|535|hr|Commerce|Randy|Neugebauer|TX|R
111|231|hr|Commerce|JOE|BACA|CA|D
111|226|hr|Science, Technology, Communications|MIKE|PENCE|IN|R
111|221|hr|Health|Robert|Wittman|VA|R
111|218|hr|Taxation|Joe|Wilson|SC|R
111|203|hr|Health|CLIFF|STEARNS|FL|R
111|195|hr|Health|CLIFF|STEARNS|FL|R
111|194|hr|Health|PETE|STARK|CA|D
111|188|hr|International Affairs|JOSE|SERRANO|NY|D
111|186|hr|Health|JOSE|SERRANO|NY|D
111|180|hr|Health|JOSE|SERRANO|NY|D
111|179|hr|Health|JOSE|SERRANO|NY|D
111|164|hr|Health|RON|PAUL|TX|R
111|163|hr|Health|RON|PAUL|TX|R
111|152|hr|Housing and Community Development|CAROLYN|MCCARTHY|NY|D
111|141|hr|Social Welfare|ELTON|GALLEGLY|CA|R
111|116|hr|Science, Technology, Communications|Virginia|Foxx|NC|R
111|109|hr|Health|Jeff|Fortenberry|NE|R
111|92|hr|Health|DONNA|CHRISTENSEN|VI|D
111|91|hr|Health|DONNA|CHRISTENSEN|VI|D
111|71|hr|Energy|SHEILA|JACKSON-LEE|TX|D
111|43|hr|Health|XAVIER|BECERRA|CA|D
111|15|hr|Health|JOHN|DINGELL|MI|D
111|468|hr|Health|JANICE|SCHAKOWSKY|IL|D
111|465|hr|Health|GENE|GREEN|TX|D
111|464|hr|Health|Tom|Price|GA|R
111|463|hr|Health|LOUISE|SLAUGHTER|NY|D
111|462|hr|Health|ELIJAH|CUMMINGS|MD|D
111|444|hr|Health|BOBBY|RUSH|IL|D
111|439|hr|Health|DENNY|REHBERG|MT|R
111|418|hr|Commerce|BARBARA|LEE|CA|D
111|414|hr|Commerce|PETER|KING|NY|R
111|400|hr|Science, Technology, Communications|JOHN|DINGELL|MI|D
111|398|hr|Health|JOSEPH|CROWLEY|NY|D
111|392|hr|Energy|ROY|BLUNT|MO|R
111|362|hr|Health|LEONARD|BOSWELL|IA|D
111|339|hr|Science, Technology, Communications|TODD|PLATTS|PA|R
111|323|hr|Health|GENE|GREEN|TX|D
111|321|hr|Health|Jeff|Fortenberry|NE|R
111|306|hr|Health|MARK|KIRK|IL|R
111|299|hr|Science, Technology, Communications|ELIOT|ENGEL|NY|D
111|298|hr|Health|Charles|Boustany|LA|R
111|274|hr|Environmental Protection|Robert|Wittman|VA|R
111|260|hr|Energy|SHEILA|JACKSON-LEE|TX|D
111|245|hr|Science, Technology, Communications|GENE|GREEN|TX|D
111|244|hr|Energy|GENE|GREEN|TX|D
111|232|hr|Environmental Protection|Tammy|Baldwin|WI|D
111|513|hr|Energy|J.|Forbes|VA|R
111|514|hr|Housing and Community Development|ELTON|GALLEGLY|CA|R
111|546|hr|Energy|MIKE|THOMPSON|CA|D
111|502|hr|Taxation|Michele|Bachmann|MN|R
111|499|hr|Foreign Trade and International Finance|Artur|Davis|AL|D
111|518|hr|Taxation|STEVE|ISRAEL|NY|D
111|517|hr|Taxation|STEVE|ISRAEL|NY|D
111|538|hr|Taxation|WILLIAM|PASCRELL|NJ|D
111|537|hr|Taxation|WILLIAM|PASCRELL|NJ|D
111|525|hr|Taxation|JOHN|LEWIS|GA|D
111|544|hr|Taxation|ED|ROYCE|CA|R
111|543|hr|Taxation|ED|ROYCE|CA|R
111|497|hr|Taxation|Brad|Ellsworth|IN|D
