congress|bill_number|bill_type|text|economic|socio_cultural
111|4850|hr|  American Job Creation and Investment Act - Amends the Internal Revenue Code to allow a corporation to elect in 2010 and 2011 to increase its alternative minimum tax (AMT) credits by a specified credit adjustment amount for purposes of increasing its U.S. workforce and making investments in business equipment. Allows a similar election for a taxable year which includes December 31, 2009, with certain restrictions. Terminates such additional credit allowance after December 31, 2011.  |Economic|Non-Socio-Cultural
115|3604|hr|   National Flood Research and Education Center Act     This bill establishes within the National Oceanic and Atmospheric Administration (NOAA) a National Flood Research and Education Center (NFREC), which shall consist of: (1) an office within NOAA; (2) one public university or college selected by the NOAA Administrator, which shall serve as the lead partner institution with NOAA; and (3) a consortium of other public universities or colleges selected by the Administrator and such lead partner institution based on their ability to fulfill specific purposes of NFREC.   The purposes of NFREC are listed, including to plan, conduct, and arrange for competent public research, data, education, and recommendations within the following categories as they relate to flooding issues nationwide, regionally, and locally: (1) physical sciences, social science, and economic, policy, and risk analysis; (2) risk management; and (3) improvement of existing, and testing of new, risk assessment tools and methods, monitoring and predicting strategies and techniques, and flood management and prevention strategies and techniques.   The bill sets forth criteria for selection of a lead partner institution and consortium members.   NFREC must: (1) partner with the U.S. Geological Survey and the Army Corps of Engineers; (2) collaborate on federal flood-related issues with specified federal agencies; and (3) collaborate and share best practices on regional, state, and locally specific flooding and flood-related issues with state and local governments and with watershed, agriculture, environmental, and business and development organizations.   Review and reporting requirements are set forth. NFREC must establish and make information available on a website.    NFREC may provide technical assistance and demonstration project grant assistance to state and local governments on a competitive basis to assist with implementing recommendations of NFREC or testing new or improved strategies or technologies.  |Non-Economic|Socio-Cultural
115|229|hr|   Unrecognized Southeast Alaska Native Communities Recognition and Compensation Act    This bill amends the Alaska Native Claims Settlement Act to permit the Native residents of each of the Native villages of Haines, Ketchikan, Petersburg, Tenakee, and Wrangell, Alaska, to organize as urban corporations and to receive certain settlement land.    These urban corporations may establish a settlement trust to promote the health, education, and welfare of the trust beneficiaries, and preserve the Native heritage and culture of their communities.  |Non-Economic|Socio-Cultural
115|2382|hr|   Permanent Flexibility for School Meals Act     This bill amends the Richard B. Russell National School Lunch Act and the Child Nutrition Act of 1966 to eliminate the minimum nutritional requirements for Department of Agriculture school meal programs by changing the requirements to voluntary guidelines.  |Non-Economic|Socio-Cultural
111|256|s|  Combat Methamphetamine Enhancement Act of 2009 - Amends the Controlled Substances Act to require all regulated retail sellers of certain listed chemical products used to make methamphetamine to submit self-certifications of compliance with the requirements of such Act to the Attorney General.  Requires the Attorney General to develop a list of all self-certified individuals and make it publicly available on the website of the Drug Enforcement Administration (DEA).    Prohibits distributors of listed chemical products from selling such products to individuals not currently registered with the DEA.   Impose civil penalties for negligent failure to self-certify as required by this Act. |Non-Economic|Socio-Cultural
111|1993|hr|  First-Time Homebuyer Credit Extension Act of 2009 - Amends the Internal Revenue Code to: (1) extend the first-time homebuyer tax credit and the waiver of recapture requirements for such credit through 2010; and (2) expand the election to treat a purchase of a principal residence as made in a prior taxable year for purposes of such credit.  |Economic|Non-Socio-Cultural
115|5923|hr|   Walnut Grove Land Exchange Act    (Sec. 3) This bill directs the the Department of Agriculture, if the Walnut Grove Church in Garland County, Arkansas, offers to convey to the United States approximately 6.3 acres of nonfederal land identified as Offered Tract 5742 in Ouachita National Forest, to      convey to the church approximately 4 acres identified as Selected Tract 5743 in the forest; and     accept in exchange, from the church, the conveyance of the Offered Tract.      The federal and nonfederal lands under the exchange shall be of equal value or the values shall be equalized by a cash payment, unless the value of the offered tract exceeds that of the selected tract.  |Non-Economic|Socio-Cultural
115|1045|hr|   Recreational Lands Self-Defense Act of 2017     This bill prohibits the Army Corps of Engineers from promulgating or enforcing any regulation that prohibits an individual from possessing a firearm at a water resources development project administered by the Corps of Engineers if: (1) the individual is not otherwise prohibited by law from possessing the firearm, and (2) the possession of the firearm is in compliance with the law of the state in which the project is located. |Non-Economic|Socio-Cultural
111|4059|s|  Choice Neighborhoods Initiative Act of 2010 - Requires the Secretary of Housing and Urban Development (HUD) to make competitive grants to local governments, public housing agencies (PHAs), community development corporations, assisted housing owners, and other for-profit and nonprofit entities to implement transformational programs in eligible neighborhoods with a concentration of extreme poverty, severely distressed housing, and a potential for long-term viability, once certain key problems are addressed.   Requires such programs to include neighborhoods with characteristics such as proximity to educational institutions, medical centers, central business districts, major employers, effective transportation alternatives (including public transit, walking, and bicycling), and low poverty neighborhoods.   Prohibits the use of such grants for construction or rehabilitation of a K-12 school building or a higher educational institution. Limits the use of grants for certain non-housing activities and supportive services. Authorizes the Secretary to waive such limitations.   Exempts from specified requirements of the United States Housing Act of 1937 the demolition and disposition of severely distressed public and assisted housing pursuant to a transformation plan. |Economic|Socio-Cultural
115|2946|s|   Anti-Terrorism Clarification Act of 2018    (Sec. 2) This bill amends the federal criminal code to make three changes to provisions governing civil claims for damages resulting from an act of international terrorism.   First, the bill narrows the limitation on such claims that occur during an act of war. Current law bars claims for international terrorism that occur during an armed conflict between military forces. This bill specifies that designated foreign terrorist organizations and specially designated global terrorists are not military forces.   Second, the bill makes available any asset of a terrorist party seized or frozen under the Foreign Narcotics Kingpin Designation Act for the satisfaction of court-awarded judgments against the terrorist party.   Third, it allows federal courts to exercise personal jurisdiction over a foreign non-state defendant that accepts benefits from the United States (e.g., foreign assistance). |Non-Economic|Socio-Cultural
111|3962|hr|  Affordable Health Care for America Act - Requires the Secretary of Health and Human Services (HHS) to establish: (1) a temporary national high-risk pool program to provide health benefits to certain uninsured individuals who have a medical condition; and (2) a temporary reinsurance program to assist participating employment-based plans with the cost of providing health benefits to retirees and their beneficiaries.   Amends the Public Health Service Act, the Employee Retirement Income Security Act of 1974 (ERISA), and the Internal Revenue Code to set forth provisions governing health insurance plans and issuers, including to: (1) provide for rebates to enrollees based on a plan's medical loss ratio (a ratio of medical expenses paid to premiums received); (2) prohibit rescission of health insurance coverage without clear and convincing evidence of fraud; (3) require the option of extending coverage for children under 27 years of age; (4) limit preexisting condition exclusions; and (5) prohibit aggregate dollar lifetime limits on benefits.   Extends COBRA coverage (health insurance continuation benefits) until an individual becomes eligible for health insurance coverage through the Health Insurance Exchange under this Act.   Provides for grandfathered health insurance coverage.   Establishes standards for qualified health benefits plans, including standards to: (1) prohibit any preexisting condition exclusions; (2) require guaranteed availability and renewability of health insurance coverage; (3) limit premium variances, except for reasons of age, area, or family enrollment; (4) prohibit discrimination based on health status factors; and (5) require parity for mental health benefits.   Requires qualified health benefits plans to provide coverage that meets the standards for the essential benefits package. Prohibits an essential benefits package from imposing any annual or lifetime limits on coverage. Lists required covered services, including hospitalization, prescription drugs, mental health services, maternity care, and children's oral health, vision, and hearing services. Prohibits cost-sharing for preventive items and services. Limits annual cost-sharing to $5,000 for an individual and $10,000 for a family. Prohibits abortion services from being required under an essential benefits package or under a qualified health benefits plan.   Establishes the Health Choices Administration as an independent agency to be headed by a Health Choices Commissioner. Establishes the Health Insurance Exchange within the Administration to facilitate access of individuals and employers to a variety of choices of affordable, quality health insurance coverage, including a public health insurance option. Requires the Commissioner to: (1) contract with entities to offer health benefit plans through the Exchange to eligible individuals; (2) coordinate the distribution of affordability premium and cost-sharing credits; and (3) establish a risk-pooling mechanism for Exchange-participating health plans.   Authorizes state-based Health Insurance Exchanges to operate in a state or group of states instead of the Health Insurance Exchange, with approval of the Commissioner.   Requires the Commissioner to establish a Consumer Operated and Oriented Plan program (CO-OP program) under which the Commissioner may make grants and loans for the establishment and initial operation of not-for-profit, member-run, health insurance cooperatives that provide insurance through the Health Insurance Exchange or a state-based Health Insurance Exchange.   Requires the HHS Secretary to offer an Exchange-participating health benefits plan. Sets forth provisions regarding the operation of the Public Health Insurance Option.    Provides for an affordability premium credit and an affordability cost-sharing credit for low-income individuals participating in the Exchange.   Requires employers to offer health benefits coverage to employees and make specified contributions towards such coverage or make contributions to the Exchange for employees obtaining coverage through the Exchange. Exempts businesses with payrolls below $500,000 from such requirement.   Amends the Internal Revenue Code to: (1) impose a surtax on the income of individuals who do not obtain health care coverage and on employers (other than small business employers) who fail to satisfy health coverage participation requirements; (2) allow a new tax credit for small business employers who provide health care coverage to their employees; (3) increase the penalty for distributions from health savings accounts not used for qualified medical expenses; (4) modify rules and contribution limits for certain employee benefit plans; (5) allow an exclusion from gross income for the value of certain medical care provided to members of Indian tribes; (6) impose a 5.4% surtax on individuals whose adjusted gross income exceeds $500,000 ($1 million for married couples filing joint returns); (7) impose a 2.5% excise tax on medical devices; (8) delay until 2020 tax rules applicable to the foreign tax credit for the worldwide allocation of interest; (9) set forth rules for the application of the economic substance doctrine and impose penalties for underpayments of tax due to transactions lacking economic substance; and (10) extend the tax exemption for employer-provided health care benefits to certain eligible beneficiaries of the taxpayer.   Amends title XVIII (Medicare) of the Social Security Act (SSA) to revise provisions relating to payment, coverage, and access, including to: (1) permit physician assistants to order post-hospital extended care services, and to provide for recognition of attending physician assistants as attending physicians to serve hospice patients; (2) provide adjustment to Medicare payment localities for physician services; (3) modify the Medicare payment systems to address geographic inequities; (4) limit cost-sharing for individual health services under the Medicare Advantage program; (5) eliminate the coverage gap under Medicare Part D (Voluntary Prescription Drug Benefit Program); (6) eliminate Medicare part D cost-sharing for certain non-institutionalized full dual eligible individuals; (7) cover marriage and family therapist services and mental health counselor services; and (8) expand access to vaccines.    Requires the HHS Secretary to establish within the Agency for Healthcare Research and Quality a Center for Comparative Effective Research.   Establishes accountability requirements for long-term care facilities and provides for transparency with respect to them.   Provides enhanced penalties for fraud and abuse.   Amends title XIX (Medicaid) of the SSA to: (1) expand Medicaid eligibility for low-income individuals and families; (2) require coverage of additional preventive services; and (3) increase payments for primary care services.   Sets forth provisions to prevent health care fraud.   Sets forth miscellaneous provisions relating to: (1) extension of the qualifying individual (QI) program; (2) the Medicaid and CHIP Payment and Access Commission; (3) prohibitions against federal Medicaid and CHIP payments for undocumented aliens; (4) the repeal of the comparative cost adjustment program; (5) grants to states for quality home visitation programs for families with young children and families expecting children; (6) establishment of the Center for Medicare and Medicaid Innovation; and (7) application of emergency services laws.   Amends the Public Health Service Act to set forth provisions related to: (1) community health centers; (2) health care provider scholarship and loan repayment programs; (3) training programs; (4) health care workforce diversity and data collection; and (5) the 340B drug discount program (a program limiting the cost of covered drugs to certain federal grantees).   Requires the HHS Secretary to establish: (1) the Advisory Committee on Health Workforce Evaluation and Assessment; (2) a community-based overweight and obesity prevention program; (3) a demonstration project for medical-legal partnerships to assist patients navigating health-related programs and activities; (4) the Emergency Care Coordination Center; (5) the Council of Emergency Care; (6) the Interagency Pain Research Coordinating Committee; (7) a national pain care education outreach and awareness campaign; and (8) a national medical device registry.   Establishes: (1) a Prevention and Wellness Trust for carrying out prevention and wellness activities; (2) the Center for Quality Improvement to focus on quality improvement activities in the delivery of health care services; and (3) the position of Assistant Secretary for Health Information.   Provides grants for: (1) school-based health clinics; (2) nurse-managed health centers; (3) federally qualified behavioral health centers; (4) influenza vaccinations to children in elementary and secondary schools; (5) evidence-based education programs to reduce teen pregnancy or sexually transmitted diseases; (6) services to children and adults with autism and their families; (7) University Centers for Excellence in Developmental Disabilities Education, Research, and Service; (8) medication management services; (9) infant mortality pilot programs; (10) community-based collaborative care networks; and (11) trauma centers and emergency medical care systems.   Requires the HHS Secretary to make an incentive payment to each state that has an alternative medical liability law.    Provides for: (1) nutrition labeling of standard menu items offered for sale in chain restaurants and vending machines; and (2) standards to make medical diagnostic equipment accessible to, and usable by, individuals with disabilities.   Prohibits certain practices related to patent infringement claims against generic drugs.    Allows a person to submit an application for licensure of a biological product based on its similarity to a licensed biological product (the reference product).   Establishes a national, voluntary disability insurance program to purchase community living assistance services and supports (CLASS program) under which: (1) all employees are automatically enrolled, but are allowed to waive enrollment; (2) payroll deductions pay monthly premiums; and (3) benefits are provided, based on the level of disability, to purchase nonmedical services and supports that the beneficiary needs to maintain independence.   Makes states eligible for federal funds under the Public Health Service Act only if they agree to be subject as an employer to the obligations under this Act.   Establishes Offices of Women's Health within HHS and its agencies.   Indian Health Care Improvement Act Amendments of 2009 - Amends the Indian Health Care Improvement Act to revise requirements for health care programs and services for Indians, Indian tribes, tribal organizations, and urban Indian organizations.      Replaces the Urban Health Programs Branch with a Division of Urban Indian Health.   Authorizes grants to urban Indian organizations for health information technology, telemedicine services development, and related infrastructure.   Directs the HHS Secretary, acting through the Indian Health Service, to provide programs of comprehensive behavioral health, prevention, and treatment.   Reauthorizes the Indian Health Care Improvement Act.   Amends the Indian Self-Determination and Education Assistance Act to direct the HHS Secretary to establish the Native American Health and Wellness Foundation.   Expands coverage for qualified Indians in the State Children's Health Insurance Program (CHIP, formerly known as SCHIP) under title XXI of the SSA, as well as under Medicare (SSA title XVIII) and Medicaid (SSA title XIX). Authorizes related payments to Indian Health Programs operating in the state. |Economic|Socio-Cultural
115|5247|hr|   Trickett Wendler, Frank Mongiello, Jordan McLinn, and Matthew Bellina Right to Try Act of 2018    This bill amends the Federal Food, Drug, and Cosmetic Act to exempt, from specified requirements and restrictions under that Act and other laws, the provision of certain unapproved, investigational drugs to a terminally ill patient who has exhausted approved treatment options and is unable to participate in a clinical trial involving the drugs. The manufacturer or sponsor of an eligible investigational drug must publish annual summaries on any use of the drug in accordance with these provisions.    The bill limits the liability of a sponsor, manufacturer, licensed physician, clinical investigator, or hospital that provides, or declines to provide, an eligible investigational drug to an eligible patient in accordance with the bill. |Non-Economic|Socio-Cultural
111|2084|hr|  Prevention, Awareness, and Research of Autoimmune Diseases Act of 2009 - Amends the Public Health Service Act to require the Secretary of Health and Human Services, acting through the Director of the National Institute of Environmental Health Sciences, to award grants for research on environmental triggers that can cause the initiation of autoimmune diseases in genetically predisposed individuals.   Requires the Secretary, acting through the Director of the Centers for Disease Control and Prevention (CDC), to award grants to eligible entities to conduct public and professional awareness activities regarding autoimmune diseases. Allows grantees to use grant funds to: (1) promote increased awareness of early intervention and treatment to significantly improve the quality of life for people with autoimmune diseases; (2) target minority communities that may be underserved or disproportionately affected by such diseases; and (3) target women to help reduce the amount of time taken for correct diagnosis of such diseases.   Requires the Secretary, acting through the Administrator of the Health Resources and Services Administration (HRSA), to: (1) award grants to eligible entities for the education of health care providers on potential links between autoimmune diseases and cognitive and mood disorders, such as depression; and (2) establish an educational loan repayment program for physicians agreeing to conduct research on autoimmune diseases.   Requires the Director of the National Institute of Arthritis and Musculoskeletal and Skin Diseases to: (1) conduct or support research on biomarkers of autoimmune diseases to prevent such diseases and to improve the diagnosis, treatment, and monitoring of such diseases; and (2) establish a database on such biomarkers. |Economic|Socio-Cultural
115|4812|hr|   21st Century Buy American Act    This bill modifies the requirements for federal agencies to grant exceptions and waivers to Buy American requirements. The bill also (1) requires the General Services Administration to establish a public website with details regarding waivers and exceptions that have been requested, are under consideration, or have been granted by agencies; (2) increases the domestic content percentage requirement to 60%; and (3) authorizes the Department of Defense to establish a program to make or guarantee loans under the Defense Production Act to certain domestic manufacturers. |Economic|Non-Socio-Cultural
115|5005|hr|  This bill directs the Department of the Interior to conduct a special resource study to determine the suitability and feasibility of establishing the birthplace of James Weldon Johnson located at Adams and Lee Streets in Jacksonville, Florida, as a unit of the National Park System. James Weldon Johnson was a renowned statesmen, educator, songwriter, author, lawyer, and civil rights activist.  |Non-Economic|Socio-Cultural
115|3662|s|   Stopping Russian Nuclear Aggression Act    This bill specifies that no funds shall be made available to extend the implementation of the New Strategic Arms Reduction Treaty (New START Treaty) beyond its current 2021 expiration date unless various conditions are met, including an agreement by Russia that several of its new weapons systems are covered by the treaty.     |Non-Economic|Socio-Cultural
111|3639|s|  Maritime Transportation Security Act of 2010 - Authorizes the Secretary of the Department in which the Coast Guard (CG) is operating (the Secretary in this bill, unless otherwise indicated) to prescribe regulations to establish education standards for recreational vessel operators.   Establishes within the CG the America's Waterway Watch Program.    Authorizes the Secretary to develop protocols, procedures, standards, and requirements for transportation of especially hazardous cargo to promote the safe and secure operation of ports, facilities, and vessels that transport such cargo. Requires the Secretary to initiate the development of an international committee also dedicated to promoting such safe and secure operations.   Authorizes the CG Commandant to execute cooperative enforcement agreements with law enforcement agencies under which law agency personnel are deputized and assets are placed under CG control to enforce security zones for the transportation of especially hazardous cargo. Requires the CG Commandant to establish national standards for training, qualification, and credentialing of such personnel.   Requires the Secretary to establish a strategic plan for the utilization of certain programs to assist foreign ports and facilities found not to maintain effective antiterrorism measures in the implementation of such measures.   Requires an area maritime transportation security plan to establish regional response and recovery protocols to mitigate regional transportation security incidents.   Requires the Secretary to ensure the deployment of interoperable communications technology at all interagency operational centers for port security at high-priority U.S. ports.    Directs the Secretary to prescribe regulations to require U.S. and foreign commercial vessels that enter a U.S. port or facility to designate a U.S. person who will be responsible for responding to a transportation security incident involving the vessel while in the United States.   Directs the Secretary to develop a national standard and formula for prioritizing, addressing, and mitigating assessed security risks at U.S. ports and facilities on or adjacent to a U.S. waterway.   Requires owners of U.S facilities that are on or adjacent to U.S. waters that pose a high risk of being involved in a transportation security incident to: (1) make the vulnerability assessment of the facility available to the local port authority and appropriate state or local law enforcement agencies; and (2) integrate the facility's security system with compatible systems operated by state, law enforcement agencies, and the CG.   Requires the Secretary of Homeland Security (DHS) to negotiate a written agreement with each marine terminal operator governing the use and placement of screening devices on the terminal.   Requires the Secretary to establish comprehensive security training requirements that would lead to certification of facility security officers.   Establishes in the Treasury a Support of Seafarers Fund.   Directs the Secretary to: (1) develop a strategic plan to prevent the unauthorized importation of radioactive, chemical, biological, or nuclear agents through all modal pathways coming into the United States; and (2) identify and harmonize electronic filing of vessel passenger and crew lists and entry requirements where appropriate.   Requires the DHS Secretary to establish integrated project teams within the science and technology directorate to assist DHS in product research, development, transition, and acquisition activities for cargo security.   Amends the SAFE Port Act to: (1) extend authority for the screening and scanning requirements for cargo containers; and (2) exempt the scanning of cargo shipped and transported in accordance with applicable law by the Secretary of State.   Prohibits a person from being held liable for monetary damages for using force at sea to defend a vessel against an act of piracy.   Authorizes the Secretary to extend for up to one year expiring merchant mariner licenses, certificates of registry, and documents.   Prohibits the DHS Secretary from requiring an individual to hold a transportation security card, or be accompanied by a cardholder, if the individual: (1) is engaged in the operation of a live animal-propelled vessel; (2) is not allowed unescorted access to a secure area; and (2) has been issued a license, certificate of registry, or merchant mariner's document.   Extends funding for the Secretary to conduct pilot projects to test the effectiveness and applicability of new port security projects at U.S. Ports |Non-Economic|Non-Socio-Cultural
115|1516|s|  This bill amends the Public Health Service Act to provide that the laws of a state designated by a health insurer (primary state) apply to individual health insurance coverage offered by that insurer in any state (secondary state) if the coverage, states, and insurer comply with the conditions of this bill. Insurers are exempted from any secondary state's laws that would prohibit or regulate the operation of the insurer in that state. The primary state is given sole jurisdiction to enforce its covered laws in any secondary state.   The Government Accountability Office must study the effect of this bill on specified health insurance issues. |Non-Economic|Socio-Cultural
111|3280|s|  National Defense Authorization Act for Fiscal Year 2011 - Authorizes appropriations for the Department of Defense (DOD) for FY2011.   Authorizes appropriations to DOD for: (1) procurement, including aircraft, missiles, weapons and tracked combat vehicles, ammunition, shipbuilding and conversion, and other procurement; (2) the Joint Improvised Explosive Device Defeat Fund; (3) Defense Production Act purchases; (4) research, development, test, and evaluation; (5) operation and maintenance; (6) active and reserve military personnel; (7) the Afghanistan Security Forces Fund; (8) Working Capital Funds; (9) the National Defense Sealift Fund; (10) the Defense Coalition Acquisition Fund; (11) chemical agents and munitions destruction; (12) drug interdiction and counter-drug activities; (13) the Defense Inspector General; (14) the Defense Health Program; (15) the Armed Forces Retirement Home; (16) overseas contingency operations; (17) chemical demilitarization construction; (18) the North Atlantic Treaty Organization (NATO) Security Investment Program; (19) Guard and reserve forces facilities; and (20) base closure and realignment activities.   Sets forth provisions or requirements concerning: (1) environmental matters, including defense facilities coverage under the Sikes Act; (2) military personnel policy, including education and training; (3) military pay and allowances; (4) retired pay and survivor benefits; (5) military health care, including a health professions scholarship and financial assistance program for DOD civilians; (6) acquisition policy and management; (7) DOD organization and management, including a reduction in the number of Deputy Under Secretaries of Defense; (8) financial matters; (9) civilian personnel matters; (10) matters relating to foreign nations; and (11) matters relating to military construction and military family housing.   Military Construction Authorization Act for Fiscal Year 2011 - Authorizes appropriations for FY2011 for military construction for the Armed Forces and defense agencies.   Establishes the Refined Petroleum Products, Marginal Expense Transfer Account for DOD purchases of refined petroleum products. |Economic|Non-Socio-Cultural
115|1401|hr|"   Flood Insurance Fairness Act of 2017    This bill amends the National Flood Insurance Act of 1968 to allow, under the National Flood Insurance Program, subsidized risk premium rates for flood insurance coverage on: (1) non-primary residences, and (2) business property.   In developing guidance and rate tables necessary to implement this Act, the Federal Emergency Management Agency (FEMA) shall consult with ""Write Your Own"" companies that write and service standard flood insurance policies in their own names. "|Economic|Socio-Cultural
115|5959|hr|   Natural Gas Parity Act     This bill modifies several tax provisions and federal programs related to the sale, purchase, and use of natural gas.    The bill modifies tax provisions related to natural gas to      extend the alternative fuels tax credit,     modify the excise tax on heavy trucks and trailers sold at retail to add a partial exclusion for alternative fuel trucks,     add a new tax credit for new natural gas motor vehicles,     extend and increase the alternative fuel vehicle refueling property tax credit, and    establish a liquefied natural gas equivalent for the purposes of the Inland Waterways Trust Fund financing rate.      The bill modifies several federal programs and requirements to      specify minimum federal acquisition requirements for natural gas and alternative fuel vehicles;    authorize the Department of Energy (DOE) to conduct specified research, development, and demonstration activities regarding natural gas vehicles;    authorize DOE to award natural gas vehicle deployment grants under the Clean Cities program; and    require specified funds provided for under certain settlement agreements for alleged violations of environmental laws to be used for alternative fuel vehicle deployment grants.    |Economic|Socio-Cultural
111|1982|s|  Trade Enforcement Priorities Act - Amends the Trade Act of 1974 to revise requirements for identification of trade enforcement priorities by the United States Trade Representative (USTR).   Requires the USTR, in identifying priority foreign country trade practices, to concentrate on U.S. trading partners: (1) that represent the largest trade deficit in dollar value with the United States, excluding petroleum and petroleum products; (2) whose practices have the most negative impact on maintaining and creating U.S. jobs, wages, and productive capacity; and (3) whose practices limit market access for U.S. goods and service.   Requires the USTR to consult with specified congressional committees on the priorities, actions, assessments, and practices required to be identified in the report.   Requires the USTR, with respect to a priority trade practice of a World Trade Organization (WTO) foreign country, or a foreign country with which the United States has a bilateral or regional trade agreement in effect, to initiate: (1) dispute settlement consultations in the WTO; (2) dispute settlement consultations under the bilateral or regional trade agreement; (3) negotiations that seek an agreement for the elimination of the priority foreign country trade practice or, if elimination is not feasible, an agreement that provides for compensatory trade benefits; or (4) any other action to eliminate the priority foreign country trade practice. Prescribes certain actions with respect to the priority foreign country trade practices of other countries.  |Economic|Socio-Cultural
115|105|s|   Consumer Financial Protection Board Act of 2017    This bill amends the Consumer Financial Protection Act of 2010 to specify that the Consumer Financial Protection Bureau shall be managed by a board of directors rather than by a director and deputy director.  |Non-Economic|Non-Socio-Cultural
111|1064|hr|  Youth Prison Reduction through Opportunities, Mentoring, Intervention, Support, and Education Act or the Youth PROMISE Act - Amends the Juvenile Justice and Delinquency Prevention Act of 1974 to establish a PROMISE Advisory Panel to assist the Office of Juvenile Justice and Delinquency Prevention in: (1) assessing and developing standards and evidence-based practices to prevent juvenile delinquency and criminal street gang activity; and (2) collecting data in designated geographic areas to assess the needs and existing resources for juvenile delinquency and criminal street gang activity prevention and intervention.  Authorizes the Administrator of the Office of Juvenile Justice and Delinquency Prevention to award grants to local governments and Indian tribes to: (1) plan and assess evidence-based and promising practices for juvenile delinquency and criminal street gang activity prevention and intervention, especially for at-risk youth; and (2) implement PROMISE plans, developed by local PROMISE Coordinating Councils (PCCs), for coordinating and supporting the delivery of juvenile delinquency and gang prevention and intervention programs in local communities.   Establishes a National Research Center for Proven Juvenile Justice Practices to provide PCCs and the public with current research and other information about evidence-based practices related to juvenile delinquency and criminal street gang prevention and intervention.   Directs the Administrator to award grants to: (1) allow institutions of higher education to serve as regional research partners with PCCs; and (2) hire and train law enforcement officers as youth-oriented police to work with PCCs, other community-based organizations, and high-risk youth. Establishes a Center for Youth-Oriented Policing.   Mynisha's Law - Authorizes any local government or Indian Tribe with a PCC to submit an application to the Administrator of the Office of Juvenile Justice and Delinquency Prevention for designation as a Comprehensive Gang Prevention and Relief Area.   Authorizes the Attorney General to award grants to partnerships comprising state mental health authorities and local or private entities to prevent or alleviate the effects of youth violence in urban communities with a high or increasing incidence of such violence.   Prevention Resources for Eliminating Criminal Activity Using Tailored Interventions in Our Neighborhoods Act of 2009 or the PRECAUTION Act - Establishes the National Commission on Public Safety Through Crime and Delinquency Prevention to: (1) carry out a comprehensive study of the effectiveness of certain crime and delinquency prevention and intervention strategies: and (2) make initial and final reports on such strategies to specified federal and state officials.   Authorizes the Director of the National Institute of Justice to make three-year grants to public and private entities for the implementation and evaluation of innovative crime or delinquency prevention or intervention strategies.  Amends the Violent Crime Control and Law Enforcement Act of 1994 to authorize grants for the creation and expansion of state, local, and tribal juvenile witness and victim protection grants. |Non-Economic|Socio-Cultural
111|2307|s|Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on certain extruders used in the production of radial tires.|Economic|Non-Socio-Cultural
